,best parameter,Test Error
Run 1,4.0,0.03655913978494624
Run 2,5.0,0.026344086021505377
Run 3,4.0,0.023118279569892472
Run 4,5.0,0.03494623655913978
Run 5,5.0,0.02903225806451613
Run 6,6.0,0.030107526881720432
Run 7,3.0,0.023118279569892472
Run 8,5.0,0.027419354838709678
Run 9,3.0,0.02258064516129032
Run 10,5.0,0.031720430107526884
Run 11,4.0,0.024193548387096774
Run 12,5.0,0.03387096774193549
Run 13,4.0,0.020967741935483872
Run 14,6.0,0.027419354838709678
Run 15,4.0,0.03064516129032258
Run 16,5.0,0.03064516129032258
Run 17,3.0,0.030107526881720432
Run 18,4.0,0.025806451612903226
Run 19,4.0,0.026344086021505377
Run 20,5.0,0.02795698924731183
